Country Name,Country Code,year,gdp_per_capita,school_enrollment,electricity_access,log_gdp
Aruba,ABW,2018,30082.1584226798,137.829788208008,100,10.311687531562564
Aruba,ABW,2019,30654.4851235397,139.320587158203,100,10.330534264216222
Aruba,ABW,2020,22664.3709949437,135.124725341797,100,10.02854941072617
Aruba,ABW,2021,26827.3447869986,123.625907897949,100,10.197176974191352
Aruba,ABW,2022,31000.5713798732,131.802169799805,99.9,10.341760914906237
Aruba,ABW,2024,38590.5650288641,124.379366731084,100,10.560763096271172
Africa Eastern and Southern,AFE,2015,1498.71597073834,42.2618598937988,33.9222756622758,7.312364000988607
Africa Eastern and Southern,AFE,2016,1335.7431649955,42.6814994812012,38.8595976583714,7.197243093845938
Africa Eastern and Southern,AFE,2017,1529.92307995549,43.2540893554688,40.2237441730368,7.332972738583779
Africa Eastern and Southern,AFE,2018,1553.61794421394,43.5594100952148,43.0350733507835,7.3483416475565715
Africa Eastern and Southern,AFE,2019,1508.0315245887,44.1287307739258,44.3908605333639,7.318560453249066
Africa Eastern and Southern,AFE,2020,1351.50316694933,44.682559967041,46.2823709455637,7.2089727089985
Africa Eastern and Southern,AFE,2021,1560.89462580275,45.1505317687988,48.1272110400485,7.353014413946556
Africa Eastern and Southern,AFE,2022,1675.90252377611,45.2816200256348,48.7420429375177,7.424107119312548
Africa Eastern and Southern,AFE,2023,1571.13270407815,45.1553916931152,50.667515794485404,7.359552105775441
Africa Eastern and Southern,AFE,2024,1628.22728900442,45.6060791015625,52.5981705163589,7.395247149228157
Afghanistan,AFG,2015,565.569730408751,53.1501083374023,71.5,6.337833595485375
Afghanistan,AFG,2016,522.082215583898,53.4350395202637,97.7,6.257825076599218
Afghanistan,AFG,2017,525.469770891619,55.5364303588867,97.7,6.264292664193559
Afghanistan,AFG,2018,491.337221382603,57.3578491210938,93.4,6.197130697311605
Afghanistan,AFG,2023,413.757894705303,59.6136016845703,85.3,6.0252810073679735
Africa Western and Central,AFW,2015,1863.40151301991,43.7089309692383,46.865482628436,7.530158866983318
Africa Western and Central,AFW,2016,1632.42497788744,42.3061790466309,51.0516355535304,7.397821904742349
Africa Western and Central,AFW,2017,1577.20349674013,42.4331703186035,48.902227563243,7.363408619056639
Africa Western and Central,AFW,2018,1723.11446346681,42.7145614624023,51.3381985112771,7.451888666977681
Africa Western and Central,AFW,2019,2219.41255534667,43.9062690734863,51.2893740480215,7.7049978251409685
Africa Western and Central,AFW,2020,2034.43793971923,44.7343406677246,51.8518662109613,7.617974863029196
Africa Western and Central,AFW,2021,2116.9382941844,45.5674285888672,54.3660120999023,7.657726122946433
Africa Western and Central,AFW,2022,2143.07209365676,45.6372985839844,55.5855936928306,7.669995636371439
Africa Western and Central,AFW,2023,1846.24681069313,46.4422416687012,57.0647374680747,7.520910106392848
Africa Western and Central,AFW,2024,1416.22841156776,46.3004913330078,58.8221662248088,7.255752568849343
Angola,AGO,2016,2082.37343594705,54.4167987304753,41.8,7.641263597138681
Angola,AGO,2021,2266.96834861584,53.1351542727131,48.2,7.726198688617314
Angola,AGO,2023,2885.51349130806,51.4839046246776,51.1,7.967458149693049
Albania,ALB,2015,4199.53912925398,102.440729325166,100,8.342730067120554
Albania,ALB,2016,4457.63412207495,99.170755047578,99.9,8.402373438364819
Albania,ALB,2017,5006.36012951959,97.5743697537481,99.9,8.518464408980618
Albania,ALB,2018,5897.65452588774,98.822387862215,100,8.68231001286951
Albania,ALB,2019,6069.43903131027,99.01515356567,100,8.711021463194774
Albania,ALB,2020,6027.91350716348,95.9294474518951,100,8.70415621113042
Albania,ALB,2021,7242.45513146613,97.665033031442,100,8.887715534452225
Albania,ALB,2022,7756.96188744253,97.3224714726407,100,8.95634602716728
Albania,ALB,2023,9740.7023414631,96.1368771236947,100,9.184068503016638
Albania,ALB,2024,11374.0085781236,108.355392456055,100,9.33908608205352
Andorra,AND,2015,38654.9347217207,91.2962188720703,100,10.562429723012254
Andorra,AND,2016,40129.8192026671,94.6524124145508,100,10.599874957959686
Andorra,AND,2017,40672.9943362327,95.1090393066406,100,10.613319621375055
Andorra,AND,2018,42819.774579353,95.9804306030273,100,10.66475529775226
Andorra,AND,2019,41257.8045861543,96.2081298828125,100,10.627595575954958
Andorra,AND,2020,37361.090067211,97.1500396728516,100,10.528385069305003
